,Unnamed: 0,"Para começar, confirme sua autorização selecionando uma das opções abaixo:","Em relação a temas como Usabilidade, Experiência do Usuário (UX), Interação Humano-Computador, Design Centrado no Usuário e outros, você se considera",A UX é muito dinâmica - muda constantemente enquanto há interação com um produto. [Marque uma opção. ],A expectativa de uso de um produto pode resultar em experiências reais.  [Marque uma opção. ],"Aspectos efêmeros e estáveis do estado interno de uma pessoa (por exemplo: necessidades,  motivações)  afetam a experiência da pessoa com algo. [Marque uma opção. ]",A UX é melhor compreendida se analisada dentro da área de marketing. [Marque uma opção. ],UX ocorre e depende do contexto em que o artefato é experimentado.  [Marque uma opção. ],"UX não é sobre o desempenho do usuário (habilidade para entender e utilizar) em relação a um artefato, mas sobre a percepção pessoal dele sobre esse desempenho. [Marque uma opção. ]",Definitivamente existe a necessidade de uma definição padronizada para o termo UX. [Marque uma opção. ],A exposição prévia a um artefato molda uma posterior experiência do usuário  [Marque uma opção. ],As pessoas nunca terão uma experiência (UX) comparável - toda e qualquer interação com um produto resulta em uma experiência única. [Marque uma opção. ],A UX deveria ser avaliada após a interação com o artefato. [Marque uma opção. ],"A UX está baseada em como uma pessoa percebe as características de um artefato, mas não nas características em si. [Marque uma opção. ]",Usabilidade é uma pré-condição necessária para a UX.  [Marque uma opção. ],"Nós não podemos projetar a UX, mas podemos projetar para a UX.  [Marque uma opção. ]","Medir a UX implica em determinar as vantagens, valores e significância de um artefato com relação às necessidades e objetivos de uma pessoa. [Marque uma opção. ]","A UX se refere a estados afetivos, isto é, qualquer combinação de valências emocionais (bom-ruim, prazeroso-desagradável) e estímulos psicológicos (calmo-agitado) [Marque uma opção. ]","A UX pode ser quantificada e, portanto, comparada entre artefatos similares (ou competitivos) [Marque uma opção. ]",A UX deveria ser medida enquanto se interage com um artefato. [Marque uma opção. ],Ao se projetar (para a) UX deve-se ter como alicerce o Design Centrado no Usuário  [Marque uma opção. ],"Apenas um indivíduo pode ter uma experiência. Uma experiência é algo pessoal. Algo que ocorre ""dentro"" da pessoa. [Marque uma opção. ]",UX é igual a apego emocional.  [Marque uma opção. ],UX não é algo novo. Já é contemplada por abordagens existentes (ex.: engenharia de usabilidade). [Marque uma opção. ],A UX deve ser abordada qualitativamente.  [Marque uma opção. ],A UX pode mudar mesmo depois que uma pessoa já parou de interagir com o produto. [Marque uma opção. ],"Dentre essas definições, qual você escolheria",Justificativa,"Gostaria de fazer algum comentário sobre essa definição? O que gostou, o que não gostou, o que mudaria, como poderia ser melhorada etc? ","Gostaria de fazer algum comentário sobre essa definição? O que gostou, o que não gostou, o que mudaria, como poderia ser melhorada etc? .1","Gostaria de fazer algum comentário sobre essa definição? O que gostou, o que não gostou, o que mudaria, como poderia ser melhorada etc? .2","Gostaria de fazer algum comentário sobre essa definição? O que gostou, o que não gostou, o que mudaria, como poderia ser melhorada etc? .3","Gostaria de fazer algum comentário sobre essa definição? O que gostou, o que não gostou, o que mudaria, como poderia ser melhorada etc? .4",Qual seu gênero? ,Qual é a sua faixa etária?,Em qual cidade você vive? ,Região ,Você é ,Role,Domain ,Sua formação principal foi na área de ,Educação ,Você já atuou ou atua profissionalmente com UX? ,"Complete a frase: ""Eu estou interessado(a) em entender o conceito de UX...""","Atualmente, quão importante é a UX para a sua vida profissional/acadêmica?"
135,135,"Confirmo que li, concordo com os termos e aceito participar.",Muito interessado em pelo menos um dos temas,Concordo totalmente,Concordo parcialmente,Concordo totalmente,Indiferente,Concordo totalmente,Concordo parcialmente,Concordo parcialmente,Concordo parcialmente,Concordo parcialmente,Concordo totalmente,Indiferente,Concordo parcialmente,Concordo parcialmente,Concordo totalmente,Concordo parcialmente,Concordo totalmente,Concordo parcialmente,Concordo totalmente,Concordo parcialmente,Discordo totalmente,Concordo totalmente,Discordo parcialmente,Concordo parcialmente,"D3: Experiência do usuário diz respeito a todo o conjunto de afetos que é evocado pela interação entre o usuário e o produto, incluindo o grau em que todos os nossos sentidos são gratificados (experiência estética), os significados que atribuímos ao produto (experiência de significação) e os sentimentos e emoções que são evocados (experiência emocional). [Desmet & Hekkert, 2007]",Esta afirmativa diz respeito ao que comentei anteriormente. A UX depende muito do design emocional e de outras disciplinas.,,,,,,Masculino,Entre 32 e 39 anos.,Fortaleza CE,Nordeste,Profissional de UX estudante.,Profissional,Mercado ,Arquitetura e urbanismo,Psicologia / Ciências sociais,"Sim, como contratado., Sim, em um projeto acadêmico (por exemplo: iniciação científica, projeto academia-indústria)","""... para criar produtos melhores""",7.0
136,136,"Confirmo que li, concordo com os termos e aceito participar.",Muito interessado em pelo menos um dos temas,Concordo parcialmente,Concordo totalmente,Concordo totalmente,Discordo parcialmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo parcialmente,Concordo parcialmente,Concordo parcialmente,Concordo parcialmente,Discordo parcialmente,Concordo totalmente,Concordo totalmente,Discordo parcialmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo parcialmente,Discordo parcialmente,Concordo parcialmente,Concordo totalmente,Concordo parcialmente,"D5: Experiência do Usuário é a qualidade da experiência que uma pessoa tem quando interage com um design específico. Isso pode mudar de um artefato específico como um copo de brinquedo ou um website até experiências integradas maiores, como um museu ou um aeroporto. [UXNet.org]",Me parece a mais adequada,,,,,,Feminino,40 anos ou mais.,Brasília,Centro-oeste,Pesquisador e/ou acadêmico,Pesquisador e/ou acadêmico,Academia,Computação e/ou tecnologia,Tecnologia / Computação / IHC,Não.,"""... por motivos acadêmicos"", ""... para deixar os usuários satisfeitos""",6.0
137,137,"Confirmo que li, concordo com os termos e aceito participar.",Muito interessado em pelo menos um dos temas,Concordo totalmente,Concordo totalmente,Concordo totalmente,Discordo totalmente,Concordo totalmente,Concordo totalmente,Concordo parcialmente,Concordo totalmente,Concordo parcialmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo parcialmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo parcialmente,Concordo totalmente,"D1: A Experiência do Usuário [engloba] todos os aspectos da interação dos usuários finais com a empresa. O seu serviço e seus produtos. O primeiro pré-requisito para uma experiência exemplar é contemplar as necessidades dos usuários sem confusão ou incômodos. Depois vem a simplicidade e a elegância que geram produtos que são uma alegria de possuir, uma alegria de usar. A verdadeira experiência do usuário vai muito além de dar aos consumidores o que eles dizem querer, ou oferecer uma lista de características [Nielsen & Norman Group, nngroup.com]","Concordo com essa definição, pois considero que a UX está relacionada com o emocional, ou seja, o que o usuário sente ao utilizar um produto ou serviço. Então, fazer com que ele fique feliz em utilizar algo é o fator principal da UX. Além disso, nem sempre o usuário sabe dizer o que quer e acima de tudo, o que de fato ele precisa. Logo, apenas fornecer a ele o que ele diz querer e precisar, não basta. ","Concordo com essa definição, pois considero que a UX está relacionada com o emocional, ou seja, o que o usuário sente ao utilizar um produto ou serviço. Então, fazer com que ele fique feliz em utilizar algo é o fator principal da UX. Além disso, nem sempre o usuário sabe dizer o que quer e acima de tudo, o que de fato ele precisa. Logo, apenas fornecer a ele o que ele diz querer e precisar, não basta. ","Concordo também com esta definição, porém considero a 1a mais completa. ","Concordo também com esta definição, porém considero a 1a mais completa. ","Complementaria esta frase informado que além da expectativa da iteração e da própria iteração, a pós-iteração também é relevante para a avaliação da UX.","Concordo também com esta definição, porém considero a 1a mais completa. ",Feminino,Entre 32 e 39 anos.,Fortaleza,Nordeste,Pesquisador e/ou acadêmico,Pesquisador e/ou acadêmico,Academia,Computação e/ou tecnologia,Tecnologia / Computação / IHC,"Sim, como contratado., Sim, em um projeto acadêmico (por exemplo: iniciação científica, projeto academia-indústria)","""... por motivos acadêmicos"", ""... para deixar os usuários satisfeitos""",7.0
138,138,"Confirmo que li, concordo com os termos e aceito participar.",Muito interessado em pelo menos um dos temas,Concordo parcialmente,Não entendi a frase.,Concordo totalmente,Discordo totalmente,Concordo totalmente,Concordo totalmente,Concordo parcialmente,Concordo parcialmente,Concordo totalmente,Não entendi a frase.,Concordo parcialmente,Concordo parcialmente,Concordo parcialmente,Concordo parcialmente,Indiferente,Concordo parcialmente,Concordo totalmente,Concordo parcialmente,Concordo parcialmente,Discordo totalmente,Discordo totalmente,Concordo parcialmente,Discordo totalmente,"D4: Experiência do Usuário é o valor derivado da interação (ou da expectativa da interação) com um produto ou serviço e os aspectos envolvidos no contexto de uso (por exemplo: tempo, local e disposição do usuário). [Sward D. & G., 2007]",UX e contexto de uso são fortemente relacionados. Considerar a UX sem o contexto fica artificial e possivelmente incompleta.,"Falar em UX considerando a interação entre as partes (usuários finais e empresa) me parece bem interessante, já que os artefatos produzidos de alguma forma vão refletir valores, regras, entendimentos daquela empresa. Mas não considerar o contexto da UX deixa esse definição incompleta.","Não concordo que a afirmativa ""Experiência do usuário é uma consequência do estado interno dos usuários "". Esse estado é somente uma parte da experiência. ",Deve haver alguma relação com o contexto com a UX acontece.,Foi a opção que escolhi acima. ,"Acho que o termo ""qualidade da experiência"" deixa  definição abstrata.",Feminino,40 anos ou mais.,Rio de Janeiro,Sudeste ,Pesquisador e/ou acadêmico,Pesquisador e/ou acadêmico,Academia,Computação e/ou tecnologia,Tecnologia / Computação / IHC,Pesquisadora na área de UX,"""... para deixar os usuários satisfeitos""",7.0
139,139,"Confirmo que li, concordo com os termos e aceito participar.",Muito interessado em pelo menos um dos temas,Concordo totalmente,Concordo totalmente,Concordo totalmente,Discordo totalmente,Concordo totalmente,Discordo parcialmente,Discordo parcialmente,Concordo parcialmente,Concordo parcialmente,Discordo parcialmente,Concordo parcialmente,Concordo parcialmente,Não entendi a frase.,Concordo parcialmente,Não entendi a frase.,Concordo parcialmente,Concordo parcialmente,Concordo totalmente,Concordo parcialmente,Não entendi a frase.,Discordo parcialmente,Concordo parcialmente,Concordo parcialmente,"D1: A Experiência do Usuário [engloba] todos os aspectos da interação dos usuários finais com a empresa. O seu serviço e seus produtos. O primeiro pré-requisito para uma experiência exemplar é contemplar as necessidades dos usuários sem confusão ou incômodos. Depois vem a simplicidade e a elegância que geram produtos que são uma alegria de possuir, uma alegria de usar. A verdadeira experiência do usuário vai muito além de dar aos consumidores o que eles dizem querer, ou oferecer uma lista de características [Nielsen & Norman Group, nngroup.com]",É a mais completa entre as apresentadas.,"Essa definição me agrada como está. O termo UX foi usado inicialmente pelo Donald A. Norman se não me engano. Então, acho que a definição mais completa seria a dele e de Nielsen. No entanto, a experiência do usuário evolui para uma gama muito grande de coisas. Por isso, no trecho ""A verdadeira experiência do usuário vai muito além de dar aos consumidores o que eles dizem querer, ou oferecer uma lista de características"" está a definição mais ampla para UX em minha opinião. Nota-se que o conceito é subjetivo. No entanto, algumas coisas são claras. Por exemplo, a percepção individual de alguém sobre um produto ou sistema, a alteração dessa percepção de alguém sobre esse produto ou sistema ao longo do tempo. Na experiencia de usuário temos que saber quem é o usuário, projetar a interação própria para aquele possível público, escolher a característica ou qualidade(s) de uso que será(ão) preponderante(s) (usabilidade, acessibilidade, comunicabilidade). Temos o design em si e os objetivos dos projetista(s) por si só.","O conceito está correto também, mas o primeiro é mais amplo",Para mim é a definição menos clara das definições apresentadas.,Muito simplista,"Correta também, mas a primeira me agradou mais.",Masculino,Entre 25 e 31 anos,Belo Horizonte,Sudeste ,Pesquisador e/ou acadêmico,Pesquisador e/ou acadêmico,Academia,Computação e/ou tecnologia,Tecnologia / Computação / IHC,"Sim, como contratado., Sim, em um projeto acadêmico (por exemplo: iniciação científica, projeto academia-indústria)","""... por motivos acadêmicos"", ""... para criar produtos melhores"", ""... para deixar os usuários satisfeitos"", para criar produtos que possam ser úteis a quem necessita",7.0
140,140,"Confirmo que li, concordo com os termos e aceito participar.",Muito interessado em pelo menos um dos temas,Concordo totalmente,Concordo parcialmente,Concordo totalmente,Concordo parcialmente,Concordo totalmente,Concordo parcialmente,Indiferente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo parcialmente,Concordo parcialmente,Não entendi a frase.,Concordo parcialmente,Concordo totalmente,Concordo parcialmente,Concordo parcialmente,Concordo parcialmente,Concordo parcialmente,Indiferente,Concordo totalmente,Indiferente,Concordo totalmente,"D2: Experiência do usuário é uma consequência do estado interno dos usuários (predisposições, expectativas, necessidades, motivações, humor etc), das características do sistema projetado (por exemplo: complexidade, propósito, usabilidade, funcionalidade etc) e o contexto (ou ambiente) no qual a interação ocorre (por exemplo: ambiente organização/social, significância da atividade,  voluntariedade de uso etc) [Hassenzahl & Tractinsky, 2006]","Pois acho que os usuários podem ter experiência diferentes dependendo de onde eles usam o artefato, sendo cada experiência única.",,,,,,Masculino,Entre 18 e 24 anos,São Paulo,Sudeste ,Estudante,Estudante,Academia,Design,Design,"Sim, como estagiário.","""... para deixar os usuários satisfeitos""",3.0
141,141,"Confirmo que li, concordo com os termos e aceito participar.",Muito interessado em pelo menos um dos temas,Indiferente,Não entendi a frase.,Concordo totalmente,Discordo totalmente,Não entendi a frase.,Discordo totalmente,Concordo totalmente,Concordo totalmente,Discordo parcialmente,Discordo totalmente,Não entendi a frase.,Discordo totalmente,Concordo parcialmente,Concordo parcialmente,Discordo parcialmente,Concordo parcialmente,Concordo parcialmente,Concordo parcialmente,Discordo parcialmente,Discordo totalmente,Indiferente,Concordo totalmente,Concordo parcialmente,"D2: Experiência do usuário é uma consequência do estado interno dos usuários (predisposições, expectativas, necessidades, motivações, humor etc), das características do sistema projetado (por exemplo: complexidade, propósito, usabilidade, funcionalidade etc) e o contexto (ou ambiente) no qual a interação ocorre (por exemplo: ambiente organização/social, significância da atividade,  voluntariedade de uso etc) [Hassenzahl & Tractinsky, 2006]","Eu acredito que entre todas as definições, a D2 considera aspectos não só do usuário e não só suas necessidade e preferências internas e motivações, mas também engloba aspectos que devem ser levado em consideração na criação de um sistema (complexidade, usabilidade, funcionalidade, etc.). Além disso, ela leva em consideração o contexto de uso do usuário. Então pra mim, a UX deve levar em conta os aspectos do usuário, do objeto de interação e do contexto de uso.","Eu não gostei do uso do termo 'empresa' (company). E achei um pouco vaga a consideração de aspectos mais práticos de um sistema ou serviço (características mensuráveis). Acho que a forma como a definição foi escrita é que me causou um pouco de incomodo. Achei uma forma muito ""romantizada""",,"Achei essa definição muito mais levada por aspectos intrínsecos do usuário, considerando apenas satisfações estéticas e significativas de uma interação. Em nenhum momento aspectos como contexto de uso ou até mesmo características da interação foram levados em consideração;",Definição extremamente vaga,Definição vaga,Feminino,Entre 18 e 24 anos,Fortaleza,Nordeste,Estudante,Estudante,Academia,"Sistemas e mídias digitais, com foco em IHC",Tecnologia / Computação / IHC,"Sim, como estagiário., Sim, como contratado., Sim, em um projeto acadêmico (por exemplo: iniciação científica, projeto academia-indústria), Algumas atribuições dessas vagas eram bem distantes do que eu achava que deveriam ser as atribuições de um UX designer. Mas como a vaga utilizava esse termo, acabei atribuindo a mim. ","""... para criar produtos melhores"", ""... para deixar os usuários satisfeitos""",7.0
142,142,"Confirmo que li, concordo com os termos e aceito participar.",Muito interessado em pelo menos um dos temas,Concordo totalmente,Concordo totalmente,Concordo totalmente,Discordo parcialmente,Concordo totalmente,Concordo parcialmente,Discordo totalmente,Concordo totalmente,Discordo parcialmente,Discordo totalmente,Discordo parcialmente,Discordo parcialmente,Concordo totalmente,Discordo parcialmente,Discordo parcialmente,Discordo parcialmente,Discordo parcialmente,Concordo totalmente,Concordo parcialmente,Discordo totalmente,Discordo parcialmente,Discordo parcialmente,Concordo totalmente,"D2: Experiência do usuário é uma consequência do estado interno dos usuários (predisposições, expectativas, necessidades, motivações, humor etc), das características do sistema projetado (por exemplo: complexidade, propósito, usabilidade, funcionalidade etc) e o contexto (ou ambiente) no qual a interação ocorre (por exemplo: ambiente organização/social, significância da atividade,  voluntariedade de uso etc) [Hassenzahl & Tractinsky, 2006]",Completude,Restrito ao aspecto comercial/profissional,Completude,Falta o aspecto pragmático,Simplista,Experiência ser qualidade de experiência... isso não é definição,Feminino,40 anos ou mais.,Em várias,Não identificada,Acadêmica e consultora,Pesquisador e/ou acadêmico,Academia,Engenharia,Outros ,"Sim, como estagiário., Sim, como contratado., Sim, como freelancer ou voluntário., Sim, em um projeto acadêmico (por exemplo: iniciação científica, projeto academia-indústria)",Porque é estratégico,7.0
143,143,"Confirmo que li, concordo com os termos e aceito participar.",Muito interessado em pelo menos um dos temas,Concordo parcialmente,Concordo totalmente,Concordo totalmente,Concordo parcialmente,Concordo totalmente,Concordo totalmente,Discordo totalmente,Concordo parcialmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Concordo totalmente,Concordo totalmente,Concordo parcialmente,Concordo parcialmente,Concordo parcialmente,Concordo parcialmente,Concordo totalmente,Discordo parcialmente,Discordo parcialmente,Concordo parcialmente,Concordo parcialmente,Concordo totalmente,"D1: A Experiência do Usuário [engloba] todos os aspectos da interação dos usuários finais com a empresa. O seu serviço e seus produtos. O primeiro pré-requisito para uma experiência exemplar é contemplar as necessidades dos usuários sem confusão ou incômodos. Depois vem a simplicidade e a elegância que geram produtos que são uma alegria de possuir, uma alegria de usar. A verdadeira experiência do usuário vai muito além de dar aos consumidores o que eles dizem querer, ou oferecer uma lista de características [Nielsen & Norman Group, nngroup.com]","Além de concordar com a afirmação, Nielsen & Norman Group são referência e precursores do UX atual.",Acredito que o termo elegância não seja necessário. Simplicidade define.,,,,,Masculino,Entre 25 e 31 anos,São Paulo,Sudeste ,Consultor de UX,Profissional,Mercado,Marketing e/ou negócios,Marketing e/ou negócios,"Sim, como estagiário., Sim, como contratado., Sim, como freelancer ou voluntário., Sim, em um projeto acadêmico (por exemplo: iniciação científica, projeto academia-indústria), Designer de UX/UI","""... por motivos acadêmicos"", ""... para criar produtos melhores"", ""... para aumentar a venda de produtos"", ""... para deixar os usuários satisfeitos""",7.0
144,144,"Confirmo que li, concordo com os termos e aceito participar.",Muito interessado em pelo menos um dos temas,Concordo totalmente,Concordo parcialmente,Concordo totalmente,Discordo parcialmente,Concordo totalmente,Discordo parcialmente,Discordo totalmente,Concordo parcialmente,Discordo totalmente,Concordo parcialmente,Discordo parcialmente,Discordo parcialmente,Concordo parcialmente,Concordo parcialmente,Discordo parcialmente,Concordo parcialmente,Concordo parcialmente,Concordo parcialmente,Discordo parcialmente,Discordo totalmente,Indiferente,Concordo parcialmente,Concordo parcialmente,"D1: A Experiência do Usuário [engloba] todos os aspectos da interação dos usuários finais com a empresa. O seu serviço e seus produtos. O primeiro pré-requisito para uma experiência exemplar é contemplar as necessidades dos usuários sem confusão ou incômodos. Depois vem a simplicidade e a elegância que geram produtos que são uma alegria de possuir, uma alegria de usar. A verdadeira experiência do usuário vai muito além de dar aos consumidores o que eles dizem querer, ou oferecer uma lista de características [Nielsen & Norman Group, nngroup.com]","Escolhi esta por ser a mais abrangente. 
Também acredito que a ótima experiência só vem após as necessidades básicas e fundamentais terem sido preenchidas, e por levarem em conta o todo - um produto específico pode ser ótimo mas ter uma péssima assistência pós-venda, por exemplo.",Pode ser melhorada com a soma das outras 4 definições. :-),"Ok, mas não se leva em consideração aqui que a falta de qualquer expectativa ou necessidade ou motivação possa também resultar em uma boa experiência, no caso a da surpresa e novidade. São muitos fatores em jogo.","Não acredito que UX seja somente uma experiência afetiva/emotiva e estética, mas também objetiva e outros. ","O contexto é importante, mas ele pode variar. Uma experiência em um dia é diferente em outro, principalmente após familiaridade com o objeto.","É boa também, tudo o que interagimos resulta em algum tipo de experiência. ",Masculino,40 anos ou mais.,São Paulo,Sudeste ,Ilustrador,Profissional,Mercado,Arte,Arte,Não.,para acompanhar a evolução do desenvolvimento da área de design.,7.0
145,145,"Confirmo que li, concordo com os termos e aceito participar.",Interessado em pelo menos um dos temas,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo parcialmente,Concordo totalmente,Concordo totalmente,Concordo parcialmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo parcialmente,Concordo totalmente,Não entendi a frase.,Concordo parcialmente,Concordo totalmente,Concordo parcialmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo parcialmente,Concordo totalmente,Concordo parcialmente,Concordo parcialmente,"D1: A Experiência do Usuário [engloba] todos os aspectos da interação dos usuários finais com a empresa. O seu serviço e seus produtos. O primeiro pré-requisito para uma experiência exemplar é contemplar as necessidades dos usuários sem confusão ou incômodos. Depois vem a simplicidade e a elegância que geram produtos que são uma alegria de possuir, uma alegria de usar. A verdadeira experiência do usuário vai muito além de dar aos consumidores o que eles dizem querer, ou oferecer uma lista de características [Nielsen & Norman Group, nngroup.com]",Achei a mais coerente,,,,,,Feminino,Entre 18 e 24 anos,Quixadá,Nordeste,Pesquisador e/ou acadêmico,Pesquisador e/ou acadêmico,Academia,Design Digital,Design,Não.,"""... por motivos acadêmicos"", ""... para criar produtos melhores"", ""... para deixar os usuários satisfeitos""",5.0
146,146,"Confirmo que li, concordo com os termos e aceito participar.",Muito interessado em pelo menos um dos temas,Concordo parcialmente,Não entendi a frase.,Concordo totalmente,Discordo totalmente,Concordo parcialmente,Concordo totalmente,Indiferente,Concordo parcialmente,Discordo parcialmente,Não entendi a frase.,Concordo totalmente,Discordo totalmente,Concordo totalmente,Concordo totalmente,Concordo parcialmente,Concordo parcialmente,Concordo totalmente,Concordo totalmente,Concordo parcialmente,Concordo parcialmente,Concordo parcialmente,Concordo totalmente,Indiferente,"D2: Experiência do usuário é uma consequência do estado interno dos usuários (predisposições, expectativas, necessidades, motivações, humor etc), das características do sistema projetado (por exemplo: complexidade, propósito, usabilidade, funcionalidade etc) e o contexto (ou ambiente) no qual a interação ocorre (por exemplo: ambiente organização/social, significância da atividade,  voluntariedade de uso etc) [Hassenzahl & Tractinsky, 2006]","Achei bem completa, objetiva, e abrangendo os aspectos essenciais.","Não me agrado o foco em ""empresa"". Também não me agradou muito o uso das palavras ""confusão"" e ""elegância"". A parte da ""alegria"" me pareceu um tanto exagerada, não muito adequada ao contexto de UX.",Essa foi a que eu escolhi. Comentários acima.,Eu gostei dessa. Mas achei a anterior mais bem explicada.,"É boa, porém curta.","Não achei adequada como definição ""oficial"" porque traz exemplos muito específicos (essa questão do copo de brinquedo, museu, etc.)",Feminino,Entre 32 e 39 anos.,Recife,Nordeste,Pesquisador e/ou acadêmico,Pesquisador e/ou acadêmico,Academia,Computação e/ou tecnologia,Tecnologia / Computação / IHC,"Sim, como contratado., Sim, em um projeto acadêmico (por exemplo: iniciação científica, projeto academia-indústria)","""... por motivos acadêmicos""",7.0
147,147,"Confirmo que li, concordo com os termos e aceito participar.",Muito interessado em pelo menos um dos temas,Concordo parcialmente,Concordo totalmente,Concordo totalmente,Discordo parcialmente,Concordo totalmente,Discordo parcialmente,Concordo totalmente,Concordo totalmente,Concordo parcialmente,Indiferente,Discordo parcialmente,Concordo parcialmente,Concordo parcialmente,Concordo totalmente,Concordo totalmente,Concordo parcialmente,Concordo parcialmente,Concordo totalmente,Indiferente,Discordo parcialmente,Discordo parcialmente,Concordo parcialmente,Discordo totalmente,"D3: Experiência do usuário diz respeito a todo o conjunto de afetos que é evocado pela interação entre o usuário e o produto, incluindo o grau em que todos os nossos sentidos são gratificados (experiência estética), os significados que atribuímos ao produto (experiência de significação) e os sentimentos e emoções que são evocados (experiência emocional). [Desmet & Hekkert, 2007]",É a que eu acredito ser mais alinhado com o que eu acredito ser experiencia de usuario pelo que estudei ate agora,É uma definição simples e fácil de entender,"Nao concordo em tratar a experiencia de usuários como uma consequência, acredito que é um processo contínuo sem começo meio e fim","Concordo com a abordagem mais psicológica sobre experiencia de usuario, acho que é a definição mais holística ",,,Feminino,Entre 18 e 24 anos,São Carlos SP,Sudeste ,Estudante,Estudante,Academia,Arquitetura e Urbanismk,Psicologia / Ciências sociais,"Sim, como estagiário.","""... para deixar os usuários satisfeitos""",7.0
148,148,"Confirmo que li, concordo com os termos e aceito participar.",Muito interessado em pelo menos um dos temas,Concordo parcialmente,Não entendi a frase.,Concordo totalmente,Discordo parcialmente,Concordo totalmente,Concordo parcialmente,Discordo parcialmente,Concordo totalmente,Concordo parcialmente,Concordo totalmente,Concordo totalmente,Discordo parcialmente,Concordo totalmente,Concordo parcialmente,Concordo parcialmente,Concordo parcialmente,Concordo parcialmente,Concordo parcialmente,Concordo parcialmente,Discordo totalmente,Discordo parcialmente,Discordo parcialmente,Concordo totalmente,"D2: Experiência do usuário é uma consequência do estado interno dos usuários (predisposições, expectativas, necessidades, motivações, humor etc), das características do sistema projetado (por exemplo: complexidade, propósito, usabilidade, funcionalidade etc) e o contexto (ou ambiente) no qual a interação ocorre (por exemplo: ambiente organização/social, significância da atividade,  voluntariedade de uso etc) [Hassenzahl & Tractinsky, 2006]",Contempla os agentes: sistema + interação + usuário,"Eu usava em minha aulas, mas acho meio boba","Essa foi a que eu preferi e engloba usuários, sistema e interação","é uma boa definição também, apenas não entendo a diferença entre estética e emocional. Ela não considera os aspectos objetivos de usar com eficácia e eficência.",Muito simples,Simples e boba,Masculino,40 anos ou mais.,Natal,Nordeste,Pesquisador e/ou acadêmico,Pesquisador e/ou acadêmico,Academia,Computação e/ou tecnologia,Tecnologia / Computação / IHC,"Sim, em um projeto acadêmico (por exemplo: iniciação científica, projeto academia-indústria)","""... por motivos acadêmicos""",7.0
149,149,"Confirmo que li, concordo com os termos e aceito participar.",Muito interessado em pelo menos um dos temas,Concordo parcialmente,Concordo parcialmente,Concordo parcialmente,Discordo parcialmente,Concordo totalmente,Concordo parcialmente,Concordo parcialmente,Concordo parcialmente,Concordo parcialmente,Discordo parcialmente,Discordo parcialmente,Indiferente,Concordo totalmente,Concordo parcialmente,Concordo totalmente,Concordo parcialmente,Concordo parcialmente,Concordo totalmente,Concordo totalmente,Indiferente,Concordo parcialmente,Indiferente,Concordo parcialmente,"D2: Experiência do usuário é uma consequência do estado interno dos usuários (predisposições, expectativas, necessidades, motivações, humor etc), das características do sistema projetado (por exemplo: complexidade, propósito, usabilidade, funcionalidade etc) e o contexto (ou ambiente) no qual a interação ocorre (por exemplo: ambiente organização/social, significância da atividade,  voluntariedade de uso etc) [Hassenzahl & Tractinsky, 2006]",É uma definição que engloba toda a área da experiência e não apenas as reações do usuário.,,,,,,Masculino,Entre 25 e 31 anos,Niterói,Sudeste ,Estudante,Estudante,Mercado,Design,Design,"Não, sou formado em Desenho Industrial e estou estudando UX","""... para criar produtos melhores"", ""... para deixar os usuários satisfeitos""",5.0
